experiment,subject,echo_idx,mean_abs_resid,mse
net1_3echo_bias_corrected,sub-21304,1,0.029159195200172256,0.0017178358102339817
net1_3echo_bias_corrected,sub-21304,2,0.02484983141139523,0.0013576419142334669
net1_3echo_bias_corrected,sub-21304,3,0.025812354165372985,0.001391981493516906
net1_3echo_bias_corrected,sub-21305,1,0.03323972662184049,0.001970678513028535
net1_3echo_bias_corrected,sub-21305,2,0.029623827811254805,0.0019295693186301267
net1_3echo_bias_corrected,sub-21305,3,0.029622236965854844,0.0017299704627495008
net1_3echo_bias_corrected,sub-21306,1,0.030741807375218082,0.0018143540026066532
net1_3echo_bias_corrected,sub-21306,2,0.031092783745069612,0.002113972325753049
net1_3echo_bias_corrected,sub-21306,3,0.02819207239969784,0.0014519646673003762
net1_3echo_bias_corrected,sub-21317,1,0.035687882418468896,0.00236585100712881
net1_3echo_bias_corrected,sub-21317,2,0.03423648532730503,0.0024953766991655225
net1_3echo_bias_corrected,sub-21317,3,0.0329536276566587,0.002149479616111691
net1_3echo_bias_corrected,sub-21324,1,0.03189124413387879,0.0019251504979955496
net1_3echo_bias_corrected,sub-21324,2,0.02521286962719702,0.0014366803709856865
net1_3echo_bias_corrected,sub-21324,3,0.027353884440595715,0.0015747010587291938
net1_3echo_bias_corrected,sub-21371,1,0.0318234455276631,0.0019118281064285125
net1_3echo_bias_corrected,sub-21371,2,0.027292863363769435,0.001574461654252002
net1_3echo_bias_corrected,sub-21371,3,0.028397614157703643,0.0016080236351503844
net1_3echo_bias_corrected,sub-21384,1,0.029882439384473953,0.0015739794449578612
net1_3echo_bias_corrected,sub-21384,2,0.0295100145764212,0.0017770401151202182
net1_3echo_bias_corrected,sub-21384,3,0.029016431330559665,0.0015042007055644543
net1_3echo_bias_corrected,sub-21448,1,0.027631879641311887,0.0014539698469178313
net1_3echo_bias_corrected,sub-21448,2,0.024200017254946027,0.001313034253646479
net1_3echo_bias_corrected,sub-21448,3,0.024900901696196732,0.0013102236299065892
net1_3echo_bias_corrected,sub-21449,1,0.03247262648736238,0.001944780383638977
net1_3echo_bias_corrected,sub-21449,2,0.02556308036101531,0.0013637628698404776
net1_3echo_bias_corrected,sub-21449,3,0.028299123350451975,0.001612545313525256
net1_3echo_bias_corrected,sub-21452,1,0.02946494745389051,0.001685183639261937
net1_3echo_bias_corrected,sub-21452,2,0.02732006195313658,0.0016443509832791958
net1_3echo_bias_corrected,sub-21452,3,0.02692708601155312,0.001407812507864641
net1_3echo_bias_corrected,sub-21453,1,0.031238702422972046,0.001860906253937682
net1_3echo_bias_corrected,sub-21453,2,0.030343399212139435,0.0020515220065082528
net1_3echo_bias_corrected,sub-21453,3,0.02768288339116423,0.0015145690075296096
net1_3echo_bias_corrected,sub-21456,1,0.030370313256983136,0.0017178925177719455
net1_3echo_bias_corrected,sub-21456,2,0.028027256686784498,0.001680094242854569
net1_3echo_bias_corrected,sub-21456,3,0.02844391035025552,0.00153891706918554
net1_3echo_bias_corrected,sub-21611,1,0.030290472263783806,0.001736783155555533
net1_3echo_bias_corrected,sub-21611,2,0.026988974387808194,0.0016189539926631006
net1_3echo_bias_corrected,sub-21611,3,0.026779873313386878,0.001428540427050853
net1_3echo_bias_corrected,sub-21641,1,0.02977216932574928,0.0016062430092711804
net1_3echo_bias_corrected,sub-21641,2,0.026680336357898297,0.001412714258526839
net1_3echo_bias_corrected,sub-21641,3,0.02780665024048634,0.0014220595221631001
net1_3echo_bias_corrected,sub-21644,1,0.029352578270013082,0.0016011228200415598
net1_3echo_bias_corrected,sub-21644,2,0.025151838116723047,0.0013850310859414479
net1_3echo_bias_corrected,sub-21644,3,0.026484445268456804,0.0014160664191901874
net1_3echo_bias_corrected,sub-21645,1,0.03384124211109843,0.0021016868599771604
net1_3echo_bias_corrected,sub-21645,2,0.03028932938038343,0.0020527474832204694
net1_3echo_bias_corrected,sub-21645,3,0.028855176199385015,0.0016886556097522674
net1_3echo_bias_corrected,sub-21652,1,0.031155227309908183,0.0017958363156001641
net1_3echo_bias_corrected,sub-21652,2,0.02769474981883844,0.0016828240759077602
net1_3echo_bias_corrected,sub-21652,3,0.028667389921256684,0.0015833658999259669
net1_3echo_bias_corrected,sub-21656,1,0.03221187308868941,0.0019120749643304247
net1_3echo_bias_corrected,sub-21656,2,0.031681275355675276,0.00207111029175797
net1_3echo_bias_corrected,sub-21656,3,0.02950490937098934,0.001664562280308119
net1_3echo_bias_corrected,sub-21657,1,0.03325536406660319,0.0019771176090955717
net1_3echo_bias_corrected,sub-21657,2,0.032719354681419587,0.0022423075553307044
net1_3echo_bias_corrected,sub-21657,3,0.030635226269949183,0.0017424751774079569
net1_3echo_bias_corrected,sub-21658,1,0.029941314066227135,0.0016934041806452547
net1_3echo_bias_corrected,sub-21658,2,0.026074564826199645,0.0014624026787073896
net1_3echo_bias_corrected,sub-21658,3,0.027471091238851504,0.0014499519982929844
